id,title,provider,category,difficulty,skills_covered,duration
1,Machine Learning Specialization,Coursera,AI,Beginner,"Python,Linear Algebra,Statistics",3 months
2,Deep Learning Specialization,Coursera,AI,Intermediate,"Neural Networks,Python,TensorFlow",4 months
3,AI For Everyone,Coursera,AI,Beginner,"AI Literacy,Business Strategy",1 month
4,The Web Developer Bootcamp,Udemy,Web Development,Beginner,"HTML,CSS,JavaScript,NodeJS",6 months
5,React - The Complete Guide,Udemy,Web Development,Intermediate,"React,JavaScript,Hooks",3 months
6,Google Cybersecurity Certificate,Coursera,Cybersecurity,Beginner,"Linux,Network Security,Python",6 months
7,Data Science Specialization,Coursera,Data Science,Beginner,"R,Data Visualization,Statistics",5 months
8,Anatomy and Physiology Specialization,Coursera,Healthcare,Beginner,"Human Anatomy,Systems,Physiology",4 months
9,Nursing Case Management,Coursera,Healthcare,Intermediate,"Patient Advocacy,Clinical Research",2 months
10,Foundations of Public Health,Coursera,Healthcare,Beginner,"Epidemiology,Policy,Health Promotion",3 months
11,Clinical Research Mastery,Udemy,Healthcare,Intermediate,"Clinical Trials,Ethics,Data Analysis",4 months
12,NMCN Professional Exam Prep (Nursing),Medical Academy,Healthcare,Advanced,"Nursing Ethics,Midwifery,Nursing Law",6 months
13,MDCN Medical Licensing Exam Prep,Doctor Hub,Healthcare,Advanced,"Internal Medicine,Surgery,Pediatrics",12 months
14,Medical Terminology for Beginners,Coursera,Healthcare,Beginner,"Medical Coding,Terminology",1 month
15,Pediatric Nursing Fundamentals,Udemy,Healthcare,Beginner,"Child Care,Pediatrics",3 months
16,Pharmacy Technician Basics,Udemy,Healthcare,Beginner,"Pharmacology,Prescriptions",4 months
17,Introduction to English Common Law,Coursera,Law,Beginner,"Constitutional Law,Legal Systems",2 months
18,Criminal Justice & Law Foundations,Coursera,Law,Beginner,"Criminal Law,Sociology",3 months
19,Contract Law Mastery,Udemy,Law,Intermediate,"Contracts,Trade Law,Negotiation",4 months
20,Nigerian Law School Exam Prep,Justice Chambers,Law,Advanced,"Litigation,Commercial Law,Nigerian Legal System",9 months
21,International Human Rights Law,Coursera,Law,Intermediate,"Human Rights,Global Policy",3 months
22,Psychological First Aid,Coursera,Social Science,Beginner,"Psychology,Mental Health Support",1 month
23,NBA Professional Conduct & Ethics,Legal Nigeria,Law,Advanced,"Legal Ethics,Code of Conduct",2 months
